booking_id,student_id,room_id,date,start_time,end_time,activity,status
B0035,1000147,R305,2026-08-17,10:00,11:00,Makeup Class,Confirmed
B0036,1000011,R223,2026-08-19,17:00,18:00,Makeup Class,Confirmed
B0037,1000067,R216,2026-08-17,10:00,11:00,Group Discussion,Confirmed
B0038,1000185,R525,2026-08-23,08:00,09:00,Club Meeting,Confirmed
B0039,1000156,R144,2026-08-20,16:00,17:00,Guest Lecture,Confirmed
B0040,1000106,R507,2026-08-19,11:00,12:00,Makeup Class,Confirmed
B0041,1000160,R214,2026-08-26,10:00,11:00,Makeup Class,Confirmed
B0042,1000117,R316,2026-08-19,14:00,15:00,Makeup Class,Confirmed
B0043,1000099,R136,2026-08-20,15:00,16:00,Group Discussion,Confirmed
B0044,1000039,R528,2026-08-25,15:00,16:00,Makeup Class,Confirmed
B0045,1000158,R150,2026-08-19,16:00,17:00,Makeup Class,Confirmed
B0046,1000193,R120,2026-08-25,17:00,18:00,Project Work,Confirmed
B0047,1000155,R148,2026-08-24,10:00,11:00,Makeup Class,Confirmed
B0048,1000108,R101,2026-08-23,17:00,18:00,Club Meeting,Confirmed
B0049,1000059,R123,2026-08-25,15:00,16:00,Guest Lecture,Confirmed
B0050,1000109,R416,2026-08-22,09:00,10:00,Group Discussion,Confirmed
B0051,1000022,R311,2026-08-24,11:00,12:00,Club Meeting,Confirmed
B0052,1000049,R539,2026-08-23,13:00,14:00,Project Work,Confirmed
B0053,1000031,R104,2026-08-26,17:00,18:00,Makeup Class,Confirmed
B0054,1000177,R104,2026-08-23,11:00,12:00,Club Meeting,Confirmed
B0055,1000040,R430,2026-08-22,09:00,10:00,Guest Lecture,Confirmed
B0056,1000138,R560,2026-08-21,13:00,14:00,Guest Lecture,Confirmed
B0057,1000175,R550,2026-08-22,13:00,14:00,Guest Lecture,Confirmed
B0058,1000143,R245,2026-08-23,17:00,18:00,Guest Lecture,Confirmed
B0059,1000079,R545,2026-08-24,13:00,14:00,Makeup Class,Confirmed
B0060,1000169,R357,2026-08-23,10:00,11:00,Project Work,Confirmed
B0061,1000026,R258,2026-08-24,10:00,11:00,Group Discussion,Confirmed
B0062,1000141,R521,2026-08-23,14:00,15:00,Makeup Class,Confirmed
B0063,1000163,R127,2026-08-19,15:00,16:00,Project Work,Confirmed
B0064,1000154,R147,2026-08-19,16:00,17:00,Guest Lecture,Confirmed
B0065,1000057,R146,2026-08-18,13:00,14:00,Club Meeting,Confirmed
B0066,1000074,R417,2026-08-23,17:00,18:00,Makeup Class,Confirmed
B0067,1000113,R130,2026-08-19,16:00,17:00,Project Work,Confirmed
B0068,1000050,R244,2026-08-25,13:00,14:00,Project Work,Confirmed
B0069,1000158,R522,2026-08-25,11:00,12:00,Group Discussion,Confirmed
B0070,1000168,R119,2026-08-22,11:00,12:00,Project Work,Confirmed
B0071,1000200,R221,2026-08-18,13:00,14:00,Guest Lecture,Confirmed
B0072,1000151,R401,2026-08-23,15:00,16:00,Group Discussion,Confirmed
B0073,1000024,R526,2026-08-17,09:00,10:00,Makeup Class,Confirmed
B0074,1000089,R326,2026-08-25,14:00,15:00,Club Meeting,Confirmed
B0075,1000117,R256,2026-08-26,11:00,12:00,Guest Lecture,Confirmed
B0076,1000045,R555,2026-08-17,13:00,14:00,Guest Lecture,Confirmed
B0077,1000019,R520,2026-08-18,17:00,18:00,Makeup Class,Confirmed
B0078,1000132,R331,2026-08-22,09:00,10:00,Club Meeting,Confirmed
B0079,1000198,R447,2026-08-23,16:00,17:00,Group Discussion,Confirmed
B0080,1000151,R354,2026-08-24,16:00,17:00,Project Work,Confirmed
B0081,1000018,R507,2026-08-18,13:00,14:00,Guest Lecture,Confirmed
B0082,1000106,R253,2026-08-20,14:00,15:00,Club Meeting,Confirmed
B0083,1000180,R525,2026-08-25,08:00,09:00,Club Meeting,Confirmed
B0084,1000103,R308,2026-08-21,09:00,10:00,Club Meeting,Confirmed
B0085,1000122,R139,2026-08-25,10:00,11:00,Club Meeting,Confirmed
B0086,1000047,R402,2026-08-20,13:00,14:00,Group Discussion,Confirmed
B0087,1000189,R516,2026-08-20,11:00,12:00,Group Discussion,Confirmed
B0088,1000052,R316,2026-08-20,11:00,12:00,Group Discussion,Confirmed
B0089,1000158,R202,2026-08-18,16:00,17:00,Project Work,Confirmed
B0090,1000096,R538,2026-08-17,16:00,17:00,Makeup Class,Confirmed
B0091,1000126,R342,2026-08-24,13:00,14:00,Group Discussion,Confirmed
B0092,1000057,R522,2026-08-21,15:00,16:00,Makeup Class,Confirmed
B0093,1000109,R206,2026-08-17,17:00,18:00,Guest Lecture,Confirmed
B0094,1000089,R537,2026-08-17,17:00,18:00,Guest Lecture,Confirmed
B0095,1000179,R230,2026-08-24,09:00,10:00,Makeup Class,Confirmed
B0096,1000004,R456,2026-08-22,08:00,09:00,Group Discussion,Confirmed
B0097,1000084,R415,2026-08-26,09:00,10:00,Club Meeting,Confirmed
B0098,1000068,R313,2026-08-19,17:00,18:00,Group Discussion,Confirmed
B0099,1000094,R318,2026-08-24,14:00,15:00,Group Discussion,Confirmed
B0100,1000108,R516,2026-08-23,11:00,12:00,Club Meeting,Confirmed
B0101,1000116,R407,2026-08-23,13:00,14:00,Group Discussion,Confirmed
B0102,1000026,R553,2026-08-19,11:00,12:00,Club Meeting,Confirmed
B0103,1000098,R301,2026-08-25,15:00,16:00,Group Discussion,Confirmed
B0104,1000003,R215,2026-08-19,16:00,17:00,Group Discussion,Confirmed
B0105,1000162,R436,2026-08-24,10:00,11:00,Makeup Class,Confirmed
B0106,1000077,R534,2026-08-22,16:00,17:00,Club Meeting,Confirmed
B0107,1000102,R548,2026-08-26,08:00,09:00,Project Work,Confirmed
B0108,1000066,R224,2026-08-17,11:00,12:00,Guest Lecture,Confirmed
B0109,1000067,R150,2026-08-24,14:00,15:00,Club Meeting,Confirmed
B0110,1000066,R405,2026-08-25,17:00,18:00,Club Meeting,Confirmed
B0111,1000090,R111,2026-08-23,09:00,10:00,Makeup Class,Confirmed
B0112,1000045,R242,2026-08-26,17:00,18:00,Club Meeting,Confirmed
B0113,1000125,R402,2026-08-22,17:00,18:00,Guest Lecture,Confirmed
B0114,1000119,R141,2026-08-23,13:00,14:00,Group Discussion,Confirmed
B0115,1000162,R226,2026-08-22,15:00,16:00,Makeup Class,Confirmed
B0116,1000021,R553,2026-08-23,09:00,10:00,Group Discussion,Confirmed
B0117,1000082,R356,2026-08-20,14:00,15:00,Club Meeting,Confirmed
B0118,1000070,R317,2026-08-26,15:00,16:00,Guest Lecture,Confirmed
B0119,1000116,R406,2026-08-26,17:00,18:00,Guest Lecture,Confirmed
B0120,1000033,R226,2026-08-19,08:00,09:00,Group Discussion,Confirmed
B0121,1000002,R108,2026-08-22,14:00,16:00,Project Work,Confirmed
B0122,1000002,R108,2026-08-25,12:00,14:00,Project Work,Confirmed
