room_id,building,floor,capacity,projector,smart_board,computers,wifi,air_conditioning
R203,Block 2,1,25,Yes,Yes,No,Yes,No
R204,Block 2,1,25,Yes,Yes,Yes,Yes,Yes
R205,Block 2,1,70,Yes,No,No,Yes,Yes
R206,Block 2,1,45,Yes,No,Yes,Yes,Yes
R207,Block 2,1,50,Yes,No,No,Yes,No
R208,Block 2,1,50,Yes,No,No,Yes,Yes
R209,Block 2,1,20,Yes,Yes,No,Yes,Yes
R210,Block 2,1,60,Yes,Yes,No,Yes,No
R211,Block 2,1,30,Yes,Yes,No,Yes,Yes
R212,Block 2,1,35,Yes,Yes,Yes,Yes,Yes
R213,Block 2,1,60,Yes,No,No,Yes,No
R214,Block 2,1,50,Yes,Yes,No,Yes,No
R215,Block 2,1,25,Yes,Yes,No,Yes,Yes
R216,Block 2,2,70,Yes,No,No,Yes,No
R217,Block 2,2,70,Yes,No,No,Yes,No
R218,Block 2,2,70,Yes,No,No,Yes,No
R219,Block 2,2,60,Yes,Yes,No,Yes,Yes
R220,Block 2,2,35,Yes,Yes,No,Yes,Yes
R221,Block 2,2,70,Yes,Yes,No,Yes,Yes
R222,Block 2,2,50,Yes,Yes,No,Yes,Yes
R223,Block 2,2,80,No,Yes,No,Yes,Yes
R224,Block 2,2,45,Yes,Yes,No,Yes,Yes
R225,Block 2,2,70,Yes,No,No,Yes,Yes
R226,Block 2,2,50,Yes,No,No,Yes,Yes
R227,Block 2,2,30,No,Yes,No,Yes,No
R228,Block 2,2,25,Yes,Yes,No,Yes,Yes
R229,Block 2,2,35,Yes,Yes,No,Yes,No
R230,Block 2,2,50,Yes,Yes,Yes,Yes,No
R231,Block 2,3,45,Yes,Yes,No,Yes,Yes
R232,Block 2,3,35,Yes,Yes,Yes,Yes,No
R233,Block 2,3,80,No,Yes,Yes,Yes,No
R234,Block 2,3,25,Yes,Yes,No,Yes,No
R235,Block 2,3,80,Yes,No,No,Yes,Yes
R236,Block 2,3,35,Yes,No,No,Yes,Yes
R237,Block 2,3,80,Yes,Yes,No,Yes,Yes
R238,Block 2,3,45,Yes,Yes,No,Yes,Yes
R239,Block 2,3,60,Yes,Yes,No,No,Yes
R240,Block 2,3,70,Yes,Yes,No,Yes,Yes
R241,Block 2,3,35,No,Yes,No,Yes,Yes
R242,Block 2,3,80,Yes,Yes,No,Yes,Yes
R243,Block 2,3,45,Yes,Yes,No,Yes,Yes
R244,Block 2,3,20,Yes,Yes,Yes,Yes,No
R245,Block 2,3,35,Yes,Yes,No,Yes,Yes
R246,Block 2,4,35,Yes,Yes,No,Yes,No
R247,Block 2,4,45,Yes,No,No,Yes,Yes
R248,Block 2,4,40,Yes,No,No,Yes,No
R249,Block 2,4,30,Yes,No,Yes,Yes,No
R250,Block 2,4,80,Yes,Yes,Yes,Yes,Yes
R251,Block 2,4,20,Yes,Yes,Yes,Yes,Yes
R252,Block 2,4,30,Yes,No,Yes,Yes,Yes
R253,Block 2,4,60,Yes,Yes,Yes,Yes,Yes
R254,Block 2,4,25,Yes,Yes,No,Yes,Yes
R255,Block 2,4,80,No,Yes,Yes,Yes,Yes
R256,Block 2,4,80,Yes,Yes,No,Yes,Yes
R257,Block 2,4,80,No,Yes,No,Yes,No
R258,Block 2,4,35,Yes,Yes,Yes,Yes,No
R259,Block 2,4,30,Yes,Yes,No,Yes,Yes
R260,Block 2,4,40,Yes,Yes,No,Yes,No
R301,Block 3,1,80,Yes,No,No,Yes,No
R302,Block 3,1,40,No,Yes,Yes,Yes,No
R303,Block 3,1,80,No,Yes,No,Yes,Yes
R304,Block 3,1,40,Yes,Yes,Yes,Yes,Yes
R305,Block 3,1,45,Yes,Yes,Yes,Yes,No
R306,Block 3,1,80,No,No,No,Yes,Yes
R307,Block 3,1,30,Yes,No,No,Yes,No
R308,Block 3,1,60,No,Yes,No,Yes,Yes
R309,Block 3,1,30,Yes,No,No,Yes,No
R310,Block 3,1,70,Yes,Yes,Yes,Yes,No
R311,Block 3,1,70,No,Yes,No,Yes,Yes
R312,Block 3,1,70,Yes,No,No,Yes,Yes
R313,Block 3,1,70,Yes,Yes,No,Yes,Yes
R314,Block 3,1,80,Yes,No,No,Yes,Yes
R315,Block 3,1,35,No,No,No,Yes,No
R316,Block 3,2,60,No,Yes,No,Yes,Yes
R317,Block 3,2,60,Yes,Yes,No,Yes,Yes
R318,Block 3,2,30,No,Yes,No,Yes,No
R319,Block 3,2,70,Yes,Yes,No,Yes,No
R320,Block 3,2,60,No,Yes,No,Yes,No
R321,Block 3,2,50,Yes,Yes,Yes,Yes,No
R322,Block 3,2,35,No,Yes,No,Yes,No
R323,Block 3,2,50,Yes,No,No,No,Yes
R324,Block 3,2,20,Yes,No,No,Yes,No
R325,Block 3,2,25,Yes,Yes,No,Yes,No
R326,Block 3,2,30,Yes,No,Yes,Yes,Yes
R327,Block 3,2,25,No,No,No,Yes,Yes
R328,Block 3,2,60,No,Yes,Yes,Yes,No
R329,Block 3,2,35,Yes,Yes,Yes,Yes,No
R330,Block 3,2,60,Yes,Yes,Yes,Yes,Yes
R331,Block 3,3,45,Yes,Yes,No,Yes,No
R332,Block 3,3,30,Yes,Yes,No,Yes,Yes
R333,Block 3,3,80,Yes,Yes,Yes,Yes,Yes
R334,Block 3,3,60,No,No,Yes,Yes,Yes
R335,Block 3,3,80,Yes,No,No,Yes,Yes
R336,Block 3,3,50,No,Yes,No,Yes,Yes
R337,Block 3,3,40,Yes,No,No,Yes,No
R338,Block 3,3,20,No,No,No,Yes,No
R339,Block 3,3,35,Yes,Yes,No,Yes,No
R340,Block 3,3,30,Yes,No,No,Yes,Yes
R341,Block 3,3,80,Yes,Yes,No,Yes,Yes
R342,Block 3,3,35,Yes,Yes,No,Yes,No
R343,Block 3,3,30,Yes,No,No,Yes,No
R344,Block 3,3,45,Yes,Yes,Yes,Yes,Yes
R345,Block 3,3,50,No,No,No,Yes,Yes
R346,Block 3,4,70,Yes,Yes,No,Yes,Yes
R347,Block 3,4,45,Yes,Yes,Yes,Yes,No
R348,Block 3,4,80,Yes,Yes,No,Yes,Yes
R349,Block 3,4,50,Yes,Yes,Yes,No,Yes
R350,Block 3,4,35,No,Yes,No,Yes,No
R351,Block 3,4,70,Yes,No,Yes,Yes,Yes
R352,Block 3,4,60,Yes,No,Yes,Yes,Yes
R353,Block 3,4,60,No,No,Yes,Yes,Yes
R354,Block 3,4,45,Yes,Yes,No,Yes,No
R355,Block 3,4,25,Yes,Yes,No,Yes,No
R356,Block 3,4,35,No,No,Yes,Yes,No
R357,Block 3,4,80,Yes,No,No,Yes,No
R358,Block 3,4,20,Yes,No,No,Yes,No
R359,Block 3,4,25,Yes,Yes,Yes,Yes,Yes
R360,Block 3,4,45,Yes,Yes,Yes,Yes,Yes
R401,Block 4,1,25,Yes,No,No,Yes,Yes
R402,Block 4,1,80,Yes,No,No,Yes,Yes
R403,Block 4,1,20,Yes,Yes,No,Yes,Yes
R404,Block 4,1,60,Yes,Yes,No,Yes,Yes
R405,Block 4,1,80,Yes,Yes,No,Yes,Yes
R406,Block 4,1,80,Yes,No,Yes,Yes,No
R407,Block 4,1,70,Yes,Yes,No,Yes,Yes
R408,Block 4,1,60,Yes,No,No,Yes,Yes
R409,Block 4,1,30,Yes,Yes,Yes,Yes,Yes
R410,Block 4,1,45,Yes,Yes,No,Yes,Yes
R411,Block 4,1,25,Yes,No,No,Yes,No
R412,Block 4,1,20,No,Yes,No,Yes,Yes
R413,Block 4,1,60,Yes,Yes,No,Yes,No
R414,Block 4,1,80,Yes,Yes,No,Yes,No
R415,Block 4,1,70,Yes,No,No,Yes,Yes
R416,Block 4,2,40,No,Yes,Yes,Yes,No
R417,Block 4,2,25,Yes,Yes,Yes,Yes,Yes
R418,Block 4,2,50,Yes,Yes,No,Yes,No
R419,Block 4,2,80,Yes,Yes,Yes,Yes,No
R420,Block 4,2,40,Yes,Yes,No,Yes,Yes
R421,Block 4,2,70,Yes,Yes,No,Yes,Yes
R422,Block 4,2,40,Yes,Yes,No,Yes,Yes
R423,Block 4,2,35,Yes,No,No,Yes,Yes
R424,Block 4,2,50,Yes,Yes,No,Yes,No
R425,Block 4,2,45,Yes,No,Yes,Yes,No
R426,Block 4,2,45,Yes,Yes,No,Yes,Yes
R427,Block 4,2,20,No,Yes,No,Yes,No
R428,Block 4,2,45,Yes,No,Yes,Yes,Yes
R429,Block 4,2,50,No,No,Yes,Yes,Yes
R430,Block 4,2,25,Yes,Yes,No,Yes,No
R431,Block 4,3,30,Yes,Yes,Yes,Yes,No
R432,Block 4,3,25,Yes,No,No,Yes,No
R433,Block 4,3,60,Yes,No,No,No,Yes
R434,Block 4,3,45,Yes,Yes,No,Yes,Yes
R435,Block 4,3,20,Yes,Yes,No,Yes,Yes
R436,Block 4,3,40,Yes,No,No,Yes,Yes
R437,Block 4,3,60,Yes,No,No,Yes,No
R438,Block 4,3,80,Yes,Yes,No,Yes,Yes
R439,Block 4,3,25,Yes,No,No,Yes,No
R440,Block 4,3,20,Yes,Yes,No,Yes,Yes
R441,Block 4,3,45,No,Yes,No,Yes,Yes
R442,Block 4,3,45,Yes,Yes,No,Yes,No
R443,Block 4,3,80,No,Yes,No,Yes,Yes
R444,Block 4,3,50,Yes,No,Yes,Yes,No
R445,Block 4,3,45,Yes,No,No,Yes,No
R446,Block 4,4,70,Yes,No,No,Yes,Yes
R447,Block 4,4,35,Yes,No,Yes,No,Yes
R448,Block 4,4,40,No,Yes,No,Yes,No
R449,Block 4,4,20,Yes,No,No,Yes,Yes
R450,Block 4,4,30,No,No,No,Yes,Yes
R451,Block 4,4,50,Yes,No,No,Yes,No
R452,Block 4,4,60,Yes,Yes,No,Yes,No
R453,Block 4,4,35,Yes,No,No,Yes,Yes
R454,Block 4,4,50,Yes,Yes,Yes,Yes,No
R455,Block 4,4,40,Yes,Yes,No,Yes,No
R456,Block 4,4,70,No,Yes,No,Yes,No
R457,Block 4,4,30,No,Yes,No,Yes,No
R458,Block 4,4,20,Yes,Yes,No,Yes,Yes
R459,Block 4,4,35,Yes,No,No,Yes,No
R460,Block 4,4,30,Yes,No,No,Yes,No
R501,Block 5,1,60,Yes,Yes,Yes,Yes,No
R502,Block 5,1,70,No,Yes,No,Yes,Yes
R503,Block 5,1,25,Yes,Yes,No,Yes,Yes
R504,Block 5,1,60,Yes,Yes,No,Yes,Yes
R505,Block 5,1,50,Yes,Yes,No,Yes,No
R506,Block 5,1,70,No,Yes,No,Yes,No
R507,Block 5,1,70,Yes,No,Yes,Yes,Yes
R508,Block 5,1,20,Yes,Yes,Yes,Yes,Yes
R509,Block 5,1,80,Yes,Yes,Yes,Yes,No
R510,Block 5,1,30,No,No,No,Yes,Yes
R511,Block 5,1,30,Yes,No,No,Yes,Yes
R512,Block 5,1,35,No,Yes,No,Yes,No
R513,Block 5,1,60,Yes,No,Yes,Yes,No
R514,Block 5,1,45,Yes,No,No,Yes,Yes
R515,Block 5,1,50,Yes,Yes,No,Yes,No
R516,Block 5,2,40,Yes,No,Yes,Yes,No
R517,Block 5,2,70,Yes,Yes,No,Yes,Yes
R518,Block 5,2,50,Yes,Yes,No,Yes,No
R519,Block 5,2,80,No,Yes,No,Yes,Yes
R520,Block 5,2,50,Yes,No,No,No,Yes
R521,Block 5,2,80,Yes,Yes,Yes,Yes,No
R522,Block 5,2,45,Yes,Yes,No,Yes,No
R523,Block 5,2,45,Yes,Yes,Yes,Yes,Yes
R524,Block 5,2,40,Yes,Yes,No,Yes,Yes
R525,Block 5,2,70,Yes,No,No,Yes,No
R526,Block 5,2,60,Yes,Yes,Yes,Yes,No
R527,Block 5,2,25,Yes,No,No,Yes,No
R528,Block 5,2,70,Yes,No,No,Yes,No
R529,Block 5,2,30,Yes,Yes,Yes,Yes,Yes
R530,Block 5,2,60,Yes,Yes,No,Yes,No
R531,Block 5,3,80,No,Yes,No,Yes,Yes
R532,Block 5,3,50,Yes,No,Yes,No,No
R533,Block 5,3,60,Yes,Yes,Yes,Yes,No
R534,Block 5,3,80,Yes,No,No,Yes,Yes
R535,Block 5,3,25,Yes,Yes,Yes,Yes,Yes
R536,Block 5,3,70,No,No,Yes,Yes,No
R537,Block 5,3,30,Yes,Yes,Yes,Yes,No
R538,Block 5,3,80,Yes,No,No,Yes,No
R539,Block 5,3,80,Yes,No,Yes,Yes,No
R540,Block 5,3,40,Yes,No,No,Yes,Yes
R541,Block 5,3,70,Yes,No,No,Yes,No
R542,Block 5,3,40,Yes,No,Yes,Yes,Yes
R543,Block 5,3,45,Yes,Yes,No,Yes,No
R544,Block 5,3,50,Yes,Yes,No,Yes,Yes
R545,Block 5,3,40,Yes,Yes,Yes,Yes,No
R546,Block 5,4,50,Yes,No,Yes,Yes,No
R547,Block 5,4,45,Yes,Yes,No,Yes,No
R548,Block 5,4,60,Yes,No,No,No,Yes
R549,Block 5,4,45,Yes,Yes,No,Yes,No
R550,Block 5,4,40,Yes,No,No,Yes,No
R551,Block 5,4,50,Yes,Yes,No,Yes,No
R552,Block 5,4,25,Yes,Yes,No,Yes,No
R553,Block 5,4,80,Yes,No,No,Yes,Yes
R554,Block 5,4,45,Yes,Yes,No,Yes,Yes
R555,Block 5,4,30,Yes,No,No,Yes,No
R556,Block 5,4,30,Yes,Yes,Yes,No,No
R557,Block 5,4,40,Yes,Yes,No,Yes,No
R558,Block 5,4,60,Yes,Yes,No,No,No
R559,Block 5,4,20,Yes,Yes,No,No,No
R560,Block 5,4,35,Yes,Yes,Yes,Yes,No
