schedule_id,room_id,date,start_time,end_time,activity
T0064,R137,2026-08-26,12:00,13:00,Tutorial
T0065,R138,2026-08-17,08:00,10:00,Workshop
T0066,R138,2026-08-17,12:00,13:00,Lecture
T0067,R138,2026-08-20,10:00,12:00,Lab
T0068,R138,2026-08-23,08:00,10:00,Lab
T0069,R138,2026-08-26,12:00,13:00,Seminar
T0070,R139,2026-08-18,12:00,13:00,Lab
T0071,R139,2026-08-21,17:00,19:00,Tutorial
T0072,R139,2026-08-22,10:00,12:00,Lecture
T0073,R139,2026-08-22,12:00,13:00,Lab
T0074,R139,2026-08-22,13:00,15:00,Tutorial
T0075,R139,2026-08-26,08:00,10:00,Seminar
T0076,R139,2026-08-26,12:00,13:00,Lab
T0077,R140,2026-08-17,08:00,10:00,Lab
T0078,R140,2026-08-20,13:00,15:00,Workshop
T0079,R140,2026-08-24,17:00,19:00,Tutorial
T0080,R140,2026-08-25,12:00,13:00,Tutorial
T0081,R141,2026-08-21,10:00,12:00,Lab
T0082,R141,2026-08-21,13:00,15:00,Lecture
T0083,R141,2026-08-22,12:00,13:00,Seminar
T0084,R141,2026-08-23,15:00,17:00,Lecture
T0085,R141,2026-08-25,15:00,17:00,Tutorial
T0086,R141,2026-08-26,08:00,10:00,Tutorial
T0087,R141,2026-08-26,13:00,15:00,Seminar
T0088,R142,2026-08-17,08:00,10:00,Tutorial
T0089,R142,2026-08-19,13:00,15:00,Seminar
T0090,R142,2026-08-19,15:00,17:00,Lab
T0091,R142,2026-08-21,08:00,10:00,Lab
T0092,R142,2026-08-26,17:00,19:00,Lab
T0093,R143,2026-08-17,08:00,10:00,Tutorial
T0094,R143,2026-08-19,15:00,17:00,Lecture
T0095,R143,2026-08-20,17:00,19:00,Lecture
T0096,R143,2026-08-23,08:00,10:00,Seminar
T0097,R143,2026-08-23,17:00,19:00,Lab
T0098,R143,2026-08-24,12:00,13:00,Tutorial
T0099,R143,2026-08-24,15:00,17:00,Seminar
T0100,R144,2026-08-20,10:00,12:00,Lecture
T0101,R144,2026-08-24,12:00,13:00,Lab
T0102,R144,2026-08-24,13:00,15:00,Lab
T0103,R144,2026-08-25,10:00,12:00,Workshop
T0104,R144,2026-08-26,12:00,13:00,Tutorial
T0105,R144,2026-08-26,13:00,15:00,Tutorial
T0106,R144,2026-08-26,17:00,19:00,Tutorial
T0107,R145,2026-08-18,13:00,15:00,Workshop
T0108,R145,2026-08-20,17:00,19:00,Seminar
T0109,R145,2026-08-21,12:00,13:00,Workshop
T0110,R145,2026-08-21,17:00,19:00,Tutorial
T0111,R145,2026-08-23,12:00,13:00,Tutorial
T0112,R145,2026-08-24,17:00,19:00,Workshop
T0113,R146,2026-08-21,15:00,17:00,Lab
T0114,R146,2026-08-22,13:00,15:00,Lecture
T0115,R146,2026-08-24,13:00,15:00,Workshop
T0116,R147,2026-08-17,13:00,15:00,Workshop
T0117,R147,2026-08-22,17:00,19:00,Tutorial
T0118,R147,2026-08-25,17:00,19:00,Workshop
T0119,R148,2026-08-18,10:00,12:00,Tutorial
T0120,R148,2026-08-18,13:00,15:00,Workshop
T0121,R148,2026-08-18,15:00,17:00,Seminar
T0122,R148,2026-08-20,12:00,13:00,Lecture
T0123,R148,2026-08-21,15:00,17:00,Workshop
T0124,R148,2026-08-22,13:00,15:00,Seminar
T0125,R148,2026-08-26,08:00,10:00,Lecture
T0126,R149,2026-08-17,13:00,15:00,Workshop
T0127,R149,2026-08-18,12:00,13:00,Seminar
T0128,R149,2026-08-21,12:00,13:00,Lab
T0129,R149,2026-08-21,17:00,19:00,Lecture
T0130,R149,2026-08-22,12:00,13:00,Seminar
T0131,R149,2026-08-23,08:00,10:00,Lab
T0132,R150,2026-08-19,10:00,12:00,Lecture
T0133,R150,2026-08-23,10:00,12:00,Lecture
T0134,R150,2026-08-24,17:00,19:00,Seminar
T0135,R151,2026-08-17,13:00,15:00,Lecture
T0136,R151,2026-08-17,15:00,17:00,Seminar
T0137,R151,2026-08-22,15:00,17:00,Lecture
T0138,R151,2026-08-24,12:00,13:00,Lab
T0139,R151,2026-08-26,17:00,19:00,Seminar
T0140,R152,2026-08-18,12:00,13:00,Seminar
T0141,R152,2026-08-23,17:00,19:00,Lab
T0142,R152,2026-08-24,15:00,17:00,Seminar
T0143,R152,2026-08-25,10:00,12:00,Seminar
T0144,R153,2026-08-17,17:00,19:00,Tutorial
T0145,R153,2026-08-21,08:00,10:00,Lab
T0146,R153,2026-08-22,15:00,17:00,Lecture
T0147,R153,2026-08-24,08:00,10:00,Tutorial
T0148,R153,2026-08-24,10:00,12:00,Workshop
T0149,R153,2026-08-26,10:00,12:00,Seminar
T0150,R154,2026-08-17,08:00,10:00,Lab
T0151,R154,2026-08-17,10:00,12:00,Seminar
T0152,R154,2026-08-18,12:00,13:00,Workshop
T0153,R154,2026-08-19,12:00,13:00,Seminar
T0154,R154,2026-08-24,15:00,17:00,Workshop
T0155,R154,2026-08-25,08:00,10:00,Seminar
T0156,R154,2026-08-25,17:00,19:00,Tutorial
T0157,R155,2026-08-18,13:00,15:00,Tutorial
T0158,R155,2026-08-19,17:00,19:00,Lecture
T0159,R155,2026-08-20,15:00,17:00,Lecture
T0160,R155,2026-08-21,17:00,19:00,Seminar
T0161,R156,2026-08-17,10:00,12:00,Lecture
T0162,R156,2026-08-17,15:00,17:00,Workshop
T0163,R156,2026-08-19,10:00,12:00,Lecture
T0164,R156,2026-08-19,13:00,15:00,Seminar
T0165,R156,2026-08-25,10:00,12:00,Workshop
T0166,R156,2026-08-26,12:00,13:00,Lecture
T0167,R156,2026-08-26,15:00,17:00,Tutorial
T0168,R157,2026-08-19,12:00,13:00,Workshop
T0169,R157,2026-08-21,10:00,12:00,Tutorial
T0170,R157,2026-08-21,15:00,17:00,Lecture
T0171,R158,2026-08-19,12:00,13:00,Workshop
T0172,R158,2026-08-20,08:00,10:00,Lab
T0173,R158,2026-08-22,12:00,13:00,Workshop
T0174,R158,2026-08-25,15:00,17:00,Workshop
T0175,R159,2026-08-18,13:00,15:00,Workshop
T0176,R159,2026-08-19,13:00,15:00,Tutorial
T0177,R159,2026-08-20,10:00,12:00,Seminar
T0178,R159,2026-08-24,08:00,10:00,Lab
T0179,R159,2026-08-26,12:00,13:00,Lab
T0180,R160,2026-08-22,17:00,19:00,Tutorial
T0181,R160,2026-08-23,10:00,12:00,Seminar
T0182,R160,2026-08-26,12:00,13:00,Workshop
T0183,R201,2026-08-17,13:00,15:00,Workshop
T0184,R201,2026-08-20,15:00,17:00,Lab
T0185,R201,2026-08-21,08:00,10:00,Seminar
T0186,R201,2026-08-23,17:00,19:00,Seminar
T0187,R201,2026-08-24,08:00,10:00,Tutorial
T0188,R201,2026-08-25,12:00,13:00,Lab
T0189,R202,2026-08-18,17:00,19:00,Tutorial
T0190,R202,2026-08-19,13:00,15:00,Lab
T0191,R202,2026-08-22,08:00,10:00,Tutorial
T0192,R202,2026-08-22,15:00,17:00,Seminar
T0193,R202,2026-08-25,08:00,10:00,Lecture
T0194,R202,2026-08-26,08:00,10:00,Workshop
T0195,R203,2026-08-18,12:00,13:00,Lab
T0196,R203,2026-08-19,13:00,15:00,Tutorial
T0197,R203,2026-08-21,08:00,10:00,Lab
T0198,R203,2026-08-21,12:00,13:00,Lecture
T0199,R203,2026-08-22,13:00,15:00,Seminar
T0200,R203,2026-08-22,17:00,19:00,Lab
T0201,R204,2026-08-22,15:00,17:00,Tutorial
T0202,R204,2026-08-24,15:00,17:00,Lecture
T0203,R204,2026-08-25,17:00,19:00,Lab
T0204,R205,2026-08-17,12:00,13:00,Tutorial
T0205,R205,2026-08-17,15:00,17:00,Workshop
T0206,R205,2026-08-23,12:00,13:00,Workshop
T0207,R205,2026-08-24,10:00,12:00,Tutorial
T0208,R205,2026-08-26,10:00,12:00,Seminar
T0209,R205,2026-08-26,15:00,17:00,Tutorial
T0210,R206,2026-08-17,08:00,10:00,Tutorial
T0211,R206,2026-08-19,10:00,12:00,Lecture
T0212,R206,2026-08-20,10:00,12:00,Seminar
T0213,R206,2026-08-26,15:00,17:00,Tutorial
T0214,R206,2026-08-26,17:00,19:00,Workshop
T0215,R207,2026-08-19,13:00,15:00,Lab
T0216,R207,2026-08-21,10:00,12:00,Lab
T0217,R207,2026-08-22,17:00,19:00,Seminar
T0218,R207,2026-08-26,15:00,17:00,Seminar
T0219,R208,2026-08-19,15:00,17:00,Seminar
T0220,R208,2026-08-20,10:00,12:00,Lecture
T0221,R208,2026-08-20,15:00,17:00,Seminar
T0222,R208,2026-08-20,17:00,19:00,Lab
T0223,R208,2026-08-22,10:00,12:00,Tutorial
T0224,R208,2026-08-22,12:00,13:00,Lab
T0225,R208,2026-08-23,17:00,19:00,Lab
T0226,R209,2026-08-17,12:00,13:00,Lecture
T0227,R209,2026-08-18,13:00,15:00,Lab
T0228,R209,2026-08-19,12:00,13:00,Workshop
T0229,R209,2026-08-23,08:00,10:00,Workshop
T0230,R209,2026-08-24,17:00,19:00,Workshop
T0231,R209,2026-08-26,10:00,12:00,Seminar
T0232,R210,2026-08-18,13:00,15:00,Workshop
T0233,R210,2026-08-19,08:00,10:00,Tutorial
T0234,R210,2026-08-19,12:00,13:00,Seminar
T0235,R210,2026-08-20,13:00,15:00,Workshop
T0236,R210,2026-08-21,08:00,10:00,Lab
T0237,R211,2026-08-22,10:00,12:00,Seminar
T0238,R211,2026-08-23,17:00,19:00,Seminar
T0239,R211,2026-08-24,15:00,17:00,Tutorial
T0240,R211,2026-08-25,08:00,10:00,Lab
T0241,R211,2026-08-25,15:00,17:00,Tutorial
T0242,R212,2026-08-18,17:00,19:00,Workshop
T0243,R212,2026-08-22,10:00,12:00,Lecture
T0244,R212,2026-08-22,15:00,17:00,Workshop
T0245,R212,2026-08-24,15:00,17:00,Lecture
T0246,R213,2026-08-17,13:00,15:00,Lecture
T0247,R213,2026-08-24,08:00,10:00,Seminar
T0248,R213,2026-08-25,15:00,17:00,Tutorial
T0249,R214,2026-08-17,08:00,10:00,Tutorial
T0250,R214,2026-08-17,15:00,17:00,Workshop
T0251,R214,2026-08-18,13:00,15:00,Seminar
T0252,R214,2026-08-24,13:00,15:00,Lab
T0253,R215,2026-08-23,13:00,15:00,Workshop
T0254,R215,2026-08-23,15:00,17:00,Seminar
T0255,R215,2026-08-24,08:00,10:00,Seminar
T0256,R216,2026-08-17,08:00,10:00,Seminar
T0257,R216,2026-08-22,15:00,17:00,Lecture
T0258,R216,2026-08-22,17:00,19:00,Lecture
T0259,R217,2026-08-17,10:00,12:00,Seminar
T0260,R217,2026-08-19,17:00,19:00,Tutorial
T0261,R217,2026-08-20,08:00,10:00,Lecture
T0262,R217,2026-08-22,12:00,13:00,Lecture
T0263,R217,2026-08-22,15:00,17:00,Workshop
T0264,R217,2026-08-24,15:00,17:00,Tutorial
T0265,R217,2026-08-25,15:00,17:00,Tutorial
T0266,R218,2026-08-19,15:00,17:00,Lab
T0267,R218,2026-08-22,13:00,15:00,Lab
T0268,R218,2026-08-23,13:00,15:00,Seminar
T0269,R218,2026-08-25,15:00,17:00,Lecture
T0270,R219,2026-08-19,13:00,15:00,Tutorial
T0271,R219,2026-08-21,10:00,12:00,Lab
T0272,R219,2026-08-21,17:00,19:00,Lecture
T0273,R219,2026-08-23,08:00,10:00,Lecture
T0274,R219,2026-08-24,12:00,13:00,Lecture
T0275,R220,2026-08-17,13:00,15:00,Lecture
T0276,R220,2026-08-21,08:00,10:00,Tutorial
T0277,R220,2026-08-22,08:00,10:00,Lecture
T0278,R220,2026-08-22,17:00,19:00,Seminar
T0279,R220,2026-08-23,15:00,17:00,Seminar
T0280,R220,2026-08-26,17:00,19:00,Lab
T0281,R221,2026-08-17,12:00,13:00,Workshop
T0282,R221,2026-08-18,08:00,10:00,Seminar
T0283,R221,2026-08-19,10:00,12:00,Lab
T0284,R221,2026-08-19,12:00,13:00,Lecture
T0285,R221,2026-08-22,13:00,15:00,Lecture
T0286,R221,2026-08-26,08:00,10:00,Lab
T0287,R221,2026-08-26,13:00,15:00,Workshop
T0288,R222,2026-08-17,10:00,12:00,Workshop
T0289,R222,2026-08-17,12:00,13:00,Tutorial
T0290,R222,2026-08-18,17:00,19:00,Seminar
T0291,R222,2026-08-19,10:00,12:00,Lecture
T0292,R222,2026-08-20,12:00,13:00,Lab
T0293,R222,2026-08-24,08:00,10:00,Tutorial
T0294,R222,2026-08-26,08:00,10:00,Workshop
T0295,R223,2026-08-21,08:00,10:00,Workshop
T0296,R223,2026-08-23,08:00,10:00,Lab
T0297,R223,2026-08-25,17:00,19:00,Seminar
T0298,R223,2026-08-26,08:00,10:00,Tutorial
T0299,R224,2026-08-20,15:00,17:00,Lecture
T0300,R224,2026-08-22,12:00,13:00,Lecture
T0301,R224,2026-08-24,17:00,19:00,Seminar
T0302,R225,2026-08-17,15:00,17:00,Workshop
T0303,R225,2026-08-20,13:00,15:00,Workshop
T0304,R225,2026-08-23,12:00,13:00,Seminar
T0305,R225,2026-08-25,17:00,19:00,Lab
T0306,R226,2026-08-19,17:00,19:00,Seminar
T0307,R226,2026-08-23,15:00,17:00,Seminar
T0308,R226,2026-08-25,12:00,13:00,Tutorial
T0309,R227,2026-08-18,17:00,19:00,Workshop
T0310,R227,2026-08-21,08:00,10:00,Seminar
T0311,R227,2026-08-21,13:00,15:00,Lecture
T0312,R227,2026-08-22,17:00,19:00,Workshop
T0313,R227,2026-08-24,10:00,12:00,Lab
T0314,R228,2026-08-17,15:00,17:00,Tutorial
T0315,R228,2026-08-17,17:00,19:00,Seminar
T0316,R228,2026-08-19,17:00,19:00,Tutorial
T0317,R228,2026-08-24,13:00,15:00,Seminar
T0318,R229,2026-08-17,08:00,10:00,Seminar
T0319,R229,2026-08-17,17:00,19:00,Lab
T0320,R229,2026-08-18,08:00,10:00,Lab
T0321,R229,2026-08-20,10:00,12:00,Lecture
T0322,R229,2026-08-20,17:00,19:00,Tutorial
T0323,R230,2026-08-18,17:00,19:00,Workshop
T0324,R230,2026-08-21,13:00,15:00,Workshop
T0325,R230,2026-08-21,15:00,17:00,Workshop
T0326,R231,2026-08-17,10:00,12:00,Workshop
T0327,R231,2026-08-17,17:00,19:00,Workshop
T0328,R231,2026-08-18,08:00,10:00,Lab
T0329,R231,2026-08-20,15:00,17:00,Seminar
T0330,R231,2026-08-22,17:00,19:00,Lecture
T0331,R231,2026-08-26,13:00,15:00,Lab
T0332,R232,2026-08-17,17:00,19:00,Workshop
T0333,R232,2026-08-19,13:00,15:00,Workshop
T0334,R232,2026-08-21,08:00,10:00,Tutorial
T0335,R232,2026-08-22,17:00,19:00,Seminar
T0336,R232,2026-08-24,15:00,17:00,Tutorial
T0337,R232,2026-08-25,10:00,12:00,Tutorial
T0338,R233,2026-08-17,15:00,17:00,Tutorial
T0339,R233,2026-08-18,13:00,15:00,Seminar
T0340,R233,2026-08-19,17:00,19:00,Lab
T0341,R233,2026-08-20,10:00,12:00,Seminar
T0342,R233,2026-08-22,10:00,12:00,Lab
T0343,R234,2026-08-17,15:00,17:00,Seminar
T0344,R234,2026-08-19,13:00,15:00,Workshop
T0345,R234,2026-08-19,15:00,17:00,Workshop
T0346,R234,2026-08-20,17:00,19:00,Tutorial
T0347,R234,2026-08-24,15:00,17:00,Seminar
T0348,R234,2026-08-25,12:00,13:00,Lecture
T0349,R235,2026-08-17,08:00,10:00,Workshop
T0350,R235,2026-08-20,10:00,12:00,Seminar
T0351,R235,2026-08-20,13:00,15:00,Lab
T0352,R235,2026-08-21,10:00,12:00,Seminar
T0353,R236,2026-08-21,13:00,15:00,Tutorial
T0354,R236,2026-08-23,12:00,13:00,Lab
T0355,R236,2026-08-23,17:00,19:00,Lab
T0356,R236,2026-08-25,15:00,17:00,Workshop
T0357,R236,2026-08-26,10:00,12:00,Tutorial
T0358,R237,2026-08-18,17:00,19:00,Seminar
T0359,R237,2026-08-20,08:00,10:00,Workshop
T0360,R237,2026-08-20,12:00,13:00,Tutorial
T0361,R237,2026-08-21,10:00,12:00,Lab
T0362,R237,2026-08-24,17:00,19:00,Seminar
T0363,R237,2026-08-26,17:00,19:00,Lab
T0364,R238,2026-08-18,10:00,12:00,Tutorial
T0365,R238,2026-08-19,08:00,10:00,Workshop
T0366,R238,2026-08-20,17:00,19:00,Lecture
T0367,R238,2026-08-22,15:00,17:00,Seminar
T0368,R238,2026-08-23,08:00,10:00,Tutorial
T0369,R238,2026-08-23,10:00,12:00,Seminar
T0370,R239,2026-08-17,15:00,17:00,Seminar
T0371,R239,2026-08-24,12:00,13:00,Seminar
T0372,R239,2026-08-25,15:00,17:00,Tutorial
T0373,R239,2026-08-25,17:00,19:00,Lab
T0374,R239,2026-08-26,08:00,10:00,Tutorial
T0375,R240,2026-08-18,13:00,15:00,Seminar
T0376,R240,2026-08-21,13:00,15:00,Lecture
T0377,R240,2026-08-24,08:00,10:00,Seminar
T0378,R240,2026-08-24,13:00,15:00,Workshop
T0379,R240,2026-08-25,12:00,13:00,Seminar
T0380,R241,2026-08-21,10:00,12:00,Lecture
T0381,R241,2026-08-21,12:00,13:00,Lab
T0382,R241,2026-08-22,12:00,13:00,Workshop
T0383,R241,2026-08-22,15:00,17:00,Workshop
T0384,R241,2026-08-24,12:00,13:00,Lecture
T0385,R241,2026-08-26,10:00,12:00,Lecture
T0386,R241,2026-08-26,15:00,17:00,Tutorial
T0387,R242,2026-08-17,12:00,13:00,Seminar
T0388,R242,2026-08-18,15:00,17:00,Lab
T0389,R242,2026-08-23,08:00,10:00,Seminar
T0390,R242,2026-08-23,13:00,15:00,Lecture
T0391,R242,2026-08-23,17:00,19:00,Lecture
T0392,R243,2026-08-19,12:00,13:00,Workshop
T0393,R243,2026-08-19,15:00,17:00,Workshop
T0394,R243,2026-08-22,12:00,13:00,Workshop
T0395,R244,2026-08-19,12:00,13:00,Workshop
T0396,R244,2026-08-20,17:00,19:00,Workshop
T0397,R244,2026-08-21,10:00,12:00,Tutorial
T0398,R244,2026-08-21,15:00,17:00,Lab
T0399,R244,2026-08-21,17:00,19:00,Lecture
T0400,R244,2026-08-24,10:00,12:00,Seminar
T0401,R244,2026-08-25,10:00,12:00,Lecture
T0402,R245,2026-08-17,17:00,19:00,Tutorial
T0403,R245,2026-08-18,10:00,12:00,Lab
T0404,R245,2026-08-21,12:00,13:00,Lab
T0405,R245,2026-08-25,17:00,19:00,Lab
T0406,R245,2026-08-26,15:00,17:00,Seminar
T0407,R246,2026-08-18,08:00,10:00,Seminar
T0408,R246,2026-08-20,15:00,17:00,Seminar
T0409,R246,2026-08-22,08:00,10:00,Lab
T0410,R246,2026-08-22,13:00,15:00,Lecture
T0411,R247,2026-08-17,10:00,12:00,Lab
T0412,R247,2026-08-17,12:00,13:00,Lecture
T0413,R247,2026-08-18,10:00,12:00,Tutorial
T0414,R247,2026-08-24,13:00,15:00,Tutorial
T0415,R247,2026-08-25,13:00,15:00,Workshop
T0416,R248,2026-08-18,15:00,17:00,Seminar
T0417,R248,2026-08-20,13:00,15:00,Tutorial
T0418,R248,2026-08-21,13:00,15:00,Seminar
T0419,R248,2026-08-22,17:00,19:00,Tutorial
T0420,R249,2026-08-21,10:00,12:00,Lecture
T0421,R249,2026-08-21,13:00,15:00,Workshop
T0422,R249,2026-08-23,15:00,17:00,Tutorial
T0423,R249,2026-08-24,08:00,10:00,Seminar
T0424,R250,2026-08-17,08:00,10:00,Lecture
T0425,R250,2026-08-19,10:00,12:00,Workshop
T0426,R250,2026-08-19,17:00,19:00,Lecture
T0427,R250,2026-08-21,08:00,10:00,Workshop
T0428,R250,2026-08-21,13:00,15:00,Tutorial
T0429,R250,2026-08-24,13:00,15:00,Lab
T0430,R250,2026-08-26,10:00,12:00,Lab
T0431,R251,2026-08-18,10:00,12:00,Seminar
T0432,R251,2026-08-19,15:00,17:00,Workshop
T0433,R251,2026-08-21,17:00,19:00,Lab
T0434,R251,2026-08-24,08:00,10:00,Workshop
T0435,R252,2026-08-18,10:00,12:00,Seminar
T0436,R252,2026-08-20,15:00,17:00,Workshop
T0437,R252,2026-08-21,10:00,12:00,Tutorial
T0438,R252,2026-08-23,10:00,12:00,Lab
T0439,R252,2026-08-23,13:00,15:00,Workshop
T0440,R252,2026-08-26,10:00,12:00,Workshop
T0441,R253,2026-08-18,12:00,13:00,Lecture
T0442,R253,2026-08-20,12:00,13:00,Tutorial
T0443,R253,2026-08-24,10:00,12:00,Lab
T0444,R254,2026-08-18,17:00,19:00,Tutorial
T0445,R254,2026-08-20,17:00,19:00,Workshop
T0446,R254,2026-08-24,12:00,13:00,Seminar
T0447,R255,2026-08-18,12:00,13:00,Seminar
T0448,R255,2026-08-18,17:00,19:00,Workshop
T0449,R255,2026-08-21,08:00,10:00,Tutorial
T0450,R255,2026-08-21,13:00,15:00,Workshop
T0451,R255,2026-08-23,08:00,10:00,Tutorial
T0452,R255,2026-08-23,12:00,13:00,Seminar
T0453,R256,2026-08-18,12:00,13:00,Workshop
T0454,R256,2026-08-18,17:00,19:00,Lecture
T0455,R256,2026-08-20,12:00,13:00,Lab
T0456,R256,2026-08-21,15:00,17:00,Lecture
T0457,R256,2026-08-25,17:00,19:00,Seminar
T0458,R257,2026-08-19,08:00,10:00,Workshop
T0459,R257,2026-08-21,08:00,10:00,Seminar
T0460,R257,2026-08-22,17:00,19:00,Seminar
T0461,R257,2026-08-25,15:00,17:00,Seminar
T0462,R258,2026-08-17,17:00,19:00,Workshop
T0463,R258,2026-08-18,15:00,17:00,Lecture
T0464,R258,2026-08-21,15:00,17:00,Tutorial
T0465,R258,2026-08-22,10:00,12:00,Lab
T0466,R258,2026-08-24,13:00,15:00,Lecture
T0467,R258,2026-08-25,17:00,19:00,Lab
T0468,R259,2026-08-18,15:00,17:00,Seminar
T0469,R259,2026-08-20,08:00,10:00,Workshop
T0470,R259,2026-08-22,15:00,17:00,Seminar
T0471,R259,2026-08-25,10:00,12:00,Workshop
T0472,R260,2026-08-18,10:00,12:00,Lab
T0473,R260,2026-08-19,17:00,19:00,Workshop
T0474,R260,2026-08-22,15:00,17:00,Lecture
T0475,R260,2026-08-23,08:00,10:00,Seminar
T0476,R260,2026-08-25,10:00,12:00,Workshop
T0477,R260,2026-08-25,15:00,17:00,Tutorial
T0478,R260,2026-08-26,17:00,19:00,Seminar
T0479,R301,2026-08-23,17:00,19:00,Tutorial
T0480,R301,2026-08-24,17:00,19:00,Lab
T0481,R301,2026-08-25,17:00,19:00,Lecture
T0482,R302,2026-08-17,17:00,19:00,Lecture
T0483,R302,2026-08-19,15:00,17:00,Tutorial
T0484,R302,2026-08-20,15:00,17:00,Tutorial
T0485,R302,2026-08-21,15:00,17:00,Workshop
T0486,R302,2026-08-25,15:00,17:00,Lab
T0487,R302,2026-08-26,10:00,12:00,Workshop
T0488,R303,2026-08-18,12:00,13:00,Tutorial
T0489,R303,2026-08-18,15:00,17:00,Lecture
T0490,R303,2026-08-19,10:00,12:00,Workshop
T0491,R303,2026-08-23,13:00,15:00,Lab
T0492,R303,2026-08-25,12:00,13:00,Workshop
T0493,R303,2026-08-25,15:00,17:00,Lab
T0494,R304,2026-08-18,15:00,17:00,Lab
T0495,R304,2026-08-20,08:00,10:00,Workshop
T0496,R304,2026-08-20,12:00,13:00,Lecture
T0497,R304,2026-08-22,15:00,17:00,Tutorial
T0498,R304,2026-08-23,08:00,10:00,Seminar
T0499,R304,2026-08-24,13:00,15:00,Lecture
T0500,R304,2026-08-26,10:00,12:00,Lab
T0501,R305,2026-08-18,12:00,13:00,Tutorial
T0502,R305,2026-08-19,13:00,15:00,Lab
T0503,R305,2026-08-24,12:00,13:00,Tutorial
T0504,R305,2026-08-26,10:00,12:00,Seminar
T0505,R306,2026-08-18,13:00,15:00,Seminar
T0506,R306,2026-08-19,17:00,19:00,Seminar
T0507,R306,2026-08-21,12:00,13:00,Lecture
T0508,R306,2026-08-23,08:00,10:00,Lecture
T0509,R306,2026-08-23,15:00,17:00,Seminar
T0510,R306,2026-08-26,13:00,15:00,Workshop
T0511,R307,2026-08-20,17:00,19:00,Seminar
T0512,R307,2026-08-21,17:00,19:00,Lab
T0513,R307,2026-08-24,12:00,13:00,Workshop
T0514,R307,2026-08-26,12:00,13:00,Lecture
T0515,R307,2026-08-26,17:00,19:00,Lecture
T0516,R308,2026-08-17,15:00,17:00,Workshop
